time,area
118.5,232.77
0.15,8.370000000000001
0.15,8.5
0.15,9.46
14.399999999999999,28.47
0.15,2.81
60.0,87.52
0.15,0.41000000000000003
120.0,260.53000000000003
0.15,9.46
0.15,4.3
5.25,12.48
0.15,3.72
0.15,6.94
0.15,8.790000000000001
0.15,6.68
120.0,261.54
0.15,9.6
120.0,255.47
0.15,4.84
0.15,7.17
0.15,5.89
120.0,240.23000000000002
0.15,0.01
0.15,4.91
0.15,7.29
0.15,8.19
120.0,250.4
120.0,246.27
0.15,9.620000000000001
120.0,237.82
0.15,8.11
0.15,5.91
0.15,6.84
120.0,232.20000000000002
0.15,0.01
120.0,263.27
0.15,8.59
0.15,8.86
0.15,0.73
0.15,6.05
0.15,9.46
120.0,178.29
0.15,0.01
0.15,0.12
0.15,6.05
0.15,5.69
0.15,8.74
120.0,236.45000000000002
0.15,0.01
120.0,263.19
120.0,231.36
0.15,0.6900000000000001
0.15,8.19
0.15,7.9
0.15,9.31
120.0,269.68
11.549999999999999,23.56
0.15,7.84
0.15,9.25
0.15,5.0600000000000005
120.0,249.42000000000002
0.15,0.14
0.15,2.72
0.15,7.48
0.15,9.75
0.15,1.78
0.15,7.21
52.8,88.26
0.15,0.06
7.199999999999999,20.26
0.15,0.87
120.0,225.08
120.0,254.45000000000002
0.15,8.69
0.15,5.96
120.0,256.23
0.15,9.02
120.0,266.36
0.15,7.42
0.15,6.79
0.15,8.97
0.15,9.290000000000001
2.1,19.64
120.0,252.96
0.15,6.76
120.0,275.96
0.15,8.77
0.15,6.61
0.3,11.11
0.15,2.36
120.0,248.56
0.15,8.13
120.0,195.6
11.4,24.2
0.15,0.56
0.15,9.73
0.15,8.14
0.15,8.01
0.15,8.96
